122816_mouseTest1
START time
16:23
treadmill_hiddenRewardRFIDhardSer_121616a
rewBegPos=1000
rewEndPos=2000
rewDur=500
isButtonStart=1
isOperant=1
isVelRew=0
velThresh=400.00
END HEADER
read tag, millis=4937
starting track calibration
read tag, millis=12262
calibration complete
track length = 4064
START SESSION button, millis = 14416
vel=300.00, currPos=1864, millis=39028
vel=288.46, currPos=1879, millis=39079
vel=274.51, currPos=1893, millis=39130
vel=274.51, currPos=1907, millis=39181
vel=320.00, currPos=1923, millis=39232
vel=333.33, currPos=1940, millis=39283
vel=346.15, currPos=1958, millis=39334
vel=352.94, currPos=1976, millis=39385
vel=380.00, currPos=1995, millis=39436
vel=352.94, currPos=2013, millis=39487
vel=352.94, currPos=2031, millis=39538
vel=326.92, currPos=2048, millis=39589
vel=340.00, currPos=2065, millis=39640
vel=294.12, currPos=2080, millis=39691
vel=294.12, currPos=2095, millis=39742
vel=280.00, currPos=2109, millis=39793
vel=269.23, currPos=2123, millis=39844
vel=274.51, currPos=2137, millis=39895
vel=254.90, currPos=2150, millis=39946
vel=260.00, currPos=2163, millis=39997
vel=215.69, currPos=2174, millis=40048
vel=192.31, currPos=2184, millis=40099
vel=196.08, currPos=2194, millis=40150
vel=160.00, currPos=2202, millis=40200
vel=156.86, currPos=2210, millis=40251
vel=137.25, currPos=2217, millis=40302
vel=140.00, currPos=2224, millis=40353
vel=134.62, currPos=2231, millis=40404
vel=137.25, currPos=2238, millis=40455
vel=117.65, currPos=2244, millis=40505
vel=140.00, currPos=2251, millis=40556
vel=117.65, currPos=2257, millis=40607
vel=96.15, currPos=2262, millis=40658
vel=100.00, currPos=2267, millis=40709
vel=78.43, currPos=2271, millis=40760
vel=58.82, currPos=2274, millis=40811
vel=40.00, currPos=2276, millis=40862
vel=19.23, currPos=2277, millis=40913
vel=-6.80, currPos=2276, millis=41060
vel=-14.93, currPos=2275, millis=41127
vel=-17.24, currPos=2274, millis=41185
vel=-15.15, currPos=2273, millis=41251
