122816_mouseTest2
START time
21:15
treadmill_hiddenRewardRFIDhardSer_122916a
rewBegPos=1000
rewEndPos=2000
rewDur=500
isButtonStart=1
isOperant=1
isVelRew=0
velThresh=400.00
END HEADER
read tag, millis=3499
starting track calibration
read tag, millis=8220
calibration complete
track length=4017
START SESSION button, millis = 10506
vel=78.43, currPos=3782, millis=44316
vel=58.82, currPos=3785, millis=44367
vel=20.00, currPos=3786, millis=44418
vel=39.22, currPos=3788, millis=44468
vel=19.61, currPos=3789, millis=44519
vel=38.46, currPos=3791, millis=44570
vel=40.00, currPos=3793, millis=44621
vel=19.61, currPos=3794, millis=44672
vel=39.22, currPos=3796, millis=44723
vel=19.61, currPos=3797, millis=44774
vel=39.22, currPos=3799, millis=44825
vel=58.82, currPos=3802, millis=44876
vel=98.04, currPos=3807, millis=44927
vel=100.00, currPos=3812, millis=44978
vel=78.43, currPos=3816, millis=45029
vel=96.15, currPos=3821, millis=45080
vel=78.43, currPos=3825, millis=45131
vel=80.00, currPos=3829, millis=45182
vel=98.04, currPos=3834, millis=45233
vel=78.43, currPos=3838, millis=45284
vel=115.38, currPos=3844, millis=45335
vel=100.00, currPos=3849, millis=45386
vel=98.04, currPos=3854, millis=45437
vel=98.04, currPos=3859, millis=45488
vel=98.04, currPos=3864, millis=45539
vel=78.43, currPos=3868, millis=45590
vel=98.04, currPos=3873, millis=45641
vel=98.04, currPos=3878, millis=45692
vel=117.65, currPos=3884, millis=45742
vel=120.00, currPos=3890, millis=45793
vel=115.38, currPos=3896, millis=45844
vel=98.04, currPos=3901, millis=45895
vel=120.00, currPos=3907, millis=45946
vel=117.65, currPos=3913, millis=45997
vel=137.25, currPos=3920, millis=46048
vel=98.04, currPos=3925, millis=46099
vel=137.25, currPos=3932, millis=46150
vel=98.04, currPos=3937, millis=46201
vel=98.04, currPos=3942, millis=46252
vel=58.82, currPos=3945, millis=46303
vel=40.00, currPos=3947, millis=46354
vel=19.23, currPos=3948, millis=46405
vel=39.22, currPos=3950, millis=46456
vel=58.82, currPos=3953, millis=46507
vel=60.00, currPos=3956, millis=46558
vel=78.43, currPos=3960, millis=46609
vel=76.92, currPos=3964, millis=46660
vel=98.04, currPos=3969, millis=46711
vel=80.00, currPos=3973, millis=46762
vel=78.43, currPos=3977, millis=46813
vel=78.43, currPos=3981, millis=46864
vel=78.43, currPos=3985, millis=46915
vel=78.43, currPos=3989, millis=46965
vel=98.04, currPos=3994, millis=47016
vel=98.04, currPos=3999, millis=47067
vel=100.00, currPos=4004, millis=47118
vel=96.15, currPos=4009, millis=47169
vel=78.43, currPos=4013, millis=47220
vel=78.43, currPos=4017, millis=47271
vel=80.00, currPos=4021, millis=47322
vel=78.43, currPos=4025, millis=47373
vel=96.15, currPos=4030, millis=47424
vel=98.04, currPos=4035, millis=47475
vel=100.00, currPos=4040, millis=47526
vel=98.04, currPos=4045, millis=47577
vel=78.43, currPos=4049, millis=47628
read tag, millis=47650
vel=78.43, currPos=4, millis=47679
vel=58.82, currPos=7, millis=47730
vel=78.43, currPos=11, millis=47781
vel=78.43, currPos=15, millis=47832
vel=39.22, currPos=17, millis=47883
vel=40.00, currPos=19, millis=47934
vel=9.43, currPos=20, millis=48039
vel=20.00, currPos=21, millis=48089
vel=39.22, currPos=23, millis=48140
vel=19.61, currPos=24, millis=48191
vel=38.46, currPos=26, millis=48242
vel=60.00, currPos=29, millis=48293
vel=58.82, currPos=32, millis=48344
vel=58.82, currPos=35, millis=48395
vel=80.00, currPos=39, millis=48446
vel=57.69, currPos=42, millis=48497
vel=78.43, currPos=46, millis=48548
vel=58.82, currPos=49, millis=48599
vel=20.00, currPos=50, millis=48650
vel=19.61, currPos=51, millis=48701
vel=-13.16, currPos=50, millis=48776
vel=-19.61, currPos=49, millis=48827
vel=-19.23, currPos=48, millis=48878
vel=-19.61, currPos=47, millis=48929
vel=-40.00, currPos=45, millis=48980
vel=-19.61, currPos=44, millis=49031
vel=-19.61, currPos=43, millis=49082
vel=-19.61, currPos=42, millis=49133
vel=-19.61, currPos=41, millis=49184
vel=-19.61, currPos=40, millis=49235
vel=-19.61, currPos=39, millis=49286
vel=-19.23, currPos=38, millis=49338
vel=-12.82, currPos=37, millis=49416
